Associated Gene Name	Ensembl Gene ID
C1qtnf3	ENSMUSG00000058914
Prkd3	ENSMUSG00000024070
Ptf1a	ENSMUSG00000026735
9530051G07Rik	ENSMUSG00000085982
Rbm3	ENSMUSG00000031167
Rnf170-ps	ENSMUSG00000101800
Mmp7	ENSMUSG00000018623
Gm28306	ENSMUSG00000101711
Gm5699	ENSMUSG00000087346
Pitpnm2os1	ENSMUSG00000090220
Gm38191	ENSMUSG00000102303
Taf11	ENSMUSG00000024218
Ptf1aos	ENSMUSG00000085388
Ighv5-21	ENSMUSG00000103989
Pitpnm2os2	ENSMUSG00000089842
Cphx3	ENSMUSG00000094817
Imp4	ENSMUSG00000026127
Gm11596	ENSMUSG00000078261
Gm36831	ENSMUSG00000106023
Gm4943	ENSMUSG00000068487
Cyp2c55	ENSMUSG00000025002
Ighv3-8	ENSMUSG00000076674
Gm14463	ENSMUSG00000084239
Pitpnm2	ENSMUSG00000029406
Gm9387	ENSMUSG00000074236
Gm9083	ENSMUSG00000083033
Gm13590	ENSMUSG00000081817
Trappc5	ENSMUSG00000040236
Gm17014	ENSMUSG00000084101
Hdac7	ENSMUSG00000022475
Olfr1290	ENSMUSG00000095809
Adgrf3	ENSMUSG00000067642
Slc9a7	ENSMUSG00000037341
Gm28543	ENSMUSG00000099640
Car13	ENSMUSG00000027555
Slc2a1	ENSMUSG00000028645
Aco1	ENSMUSG00000028405
Tspyl1	ENSMUSG00000047514
Irx1	ENSMUSG00000060969
Map2k3os	ENSMUSG00000042549
Gm26815	ENSMUSG00000097384
Fuca1	ENSMUSG00000028673
Gm5843	ENSMUSG00000084092
Chmp1a	ENSMUSG00000000743
Mterf1a	ENSMUSG00000040429
C2cd4b	ENSMUSG00000091956
Wdtc1	ENSMUSG00000037622
Rpl36-ps9	ENSMUSG00000106476
Qrfp	ENSMUSG00000043102
Prpf40b	ENSMUSG00000023007
M5C1000I18Rik	ENSMUSG00000055125
Grik5	ENSMUSG00000003378
Vmn1r-ps84	ENSMUSG00000092496
Zan	ENSMUSG00000079173
Gm11569	ENSMUSG00000078260
Vmn1r167	ENSMUSG00000090715
Rnf166	ENSMUSG00000014470
Nagpa	ENSMUSG00000023143
Ighv8-1	ENSMUSG00000104115
C77080	ENSMUSG00000050390
Ighv1-1	ENSMUSG00000103340
Rars	ENSMUSG00000018848
Gm11554	ENSMUSG00000078259
Ighv13-2	ENSMUSG00000076671
Papd7	ENSMUSG00000034575
Zfp536	ENSMUSG00000043456
Gm10612	ENSMUSG00000090174
Mettl13	ENSMUSG00000026694
Zfpm1	ENSMUSG00000049577
Krtap4-13	ENSMUSG00000048294
Gm12868	ENSMUSG00000085505
Wisp1	ENSMUSG00000005124
Gm12867	ENSMUSG00000086683
Ighv12-3	ENSMUSG00000076676
Atg16l1	ENSMUSG00000026289
Gm29669	ENSMUSG00000100371
Srd5a1	ENSMUSG00000021594
Gm28644	ENSMUSG00000100237
Copg2	ENSMUSG00000025607
Gm11564	ENSMUSG00000078258
Gm12336	ENSMUSG00000085359
Gm10614	ENSMUSG00000097773
Olfr1292-ps1	ENSMUSG00000094074
Gm17709	ENSMUSG00000091952
Gm43560	ENSMUSG00000106057
Gm43707	ENSMUSG00000104903
Gm5396	ENSMUSG00000084275
Gm20388	ENSMUSG00000092329
Hs2st1	ENSMUSG00000040151
Gm28195	ENSMUSG00000101345
Ccdc115	ENSMUSG00000042111
Larp4b	ENSMUSG00000033499
Gm17108	ENSMUSG00000091133
A530095I07Rik	ENSMUSG00000051805
Slc45a2	ENSMUSG00000022243
1810010K12Rik	ENSMUSG00000056329
Gm13432	ENSMUSG00000083528
Zdhhc7	ENSMUSG00000031823
Gm12463	ENSMUSG00000080916
Vmn2r-ps62	ENSMUSG00000092217
Gm14882	ENSMUSG00000083063
Gm20554	ENSMUSG00000093587
Med18	ENSMUSG00000066042
Gng4	ENSMUSG00000021303
Gm21171	ENSMUSG00000095103
Nanog-ps1	ENSMUSG00000100506
Gmcl1	ENSMUSG00000001157
Gm29411	ENSMUSG00000099712
Hadh	ENSMUSG00000027984
Adcy1	ENSMUSG00000020431
Gm12677	ENSMUSG00000081127
Psg21	ENSMUSG00000070796
Sash3	ENSMUSG00000031101
Gm13605	ENSMUSG00000084768
Melk	ENSMUSG00000035683
Gm43554	ENSMUSG00000105995
Slc7a5	ENSMUSG00000040010
Clu	ENSMUSG00000022037
Gm28222	ENSMUSG00000099586
Gm20924	ENSMUSG00000095785
Smarcc1	ENSMUSG00000032481
4930415L06Rik	ENSMUSG00000035387
Gm13753	ENSMUSG00000086378
Gm14881	ENSMUSG00000082939
Snhg17	ENSMUSG00000085385
Olfr1171-ps1	ENSMUSG00000082010
4930570D08Rik	ENSMUSG00000084875
4930505M18Rik	ENSMUSG00000093540
Gm15733	ENSMUSG00000086115
Gm6027	ENSMUSG00000083508
Mospd1	ENSMUSG00000023074
Rph3al	ENSMUSG00000020847
Gm4746	ENSMUSG00000082479
Vmn1r223	ENSMUSG00000069280
Gm28990	ENSMUSG00000101982
Gm6977	ENSMUSG00000084289
Gm10045	ENSMUSG00000094326
Psg23	ENSMUSG00000074359
Gm11331	ENSMUSG00000082593
Fbxo33	ENSMUSG00000035329
Sftpa1	ENSMUSG00000021789
Rps6	ENSMUSG00000028495
Adcy3	ENSMUSG00000020654
Gm37803	ENSMUSG00000103302
9530085P06Rik	ENSMUSG00000098109
Tnni2	ENSMUSG00000031097
Gm28324	ENSMUSG00000101886
Gm28803	ENSMUSG00000101046
Galnt2	ENSMUSG00000089704
Gm37041	ENSMUSG00000102569
Osbp2	ENSMUSG00000020435
Gm36888	ENSMUSG00000103349
Mrln	ENSMUSG00000019933
Fignl1	ENSMUSG00000035455
Gm43574	ENSMUSG00000106285
Trpv6	ENSMUSG00000029868
Gm17136	ENSMUSG00000057945
Gm43576	ENSMUSG00000105718
Gm17137	ENSMUSG00000090559
Fibcd1	ENSMUSG00000026841
Gm38068	ENSMUSG00000103566
Gm21835	ENSMUSG00000100066
Helb	ENSMUSG00000020228
1700044K03Rik	ENSMUSG00000100297
Gm43575	ENSMUSG00000105934
Gm14880	ENSMUSG00000080841
Slc7a10	ENSMUSG00000030495
Kis2	ENSMUSG00000086173
Gm23925	ENSMUSG00000100992
Gm16075	ENSMUSG00000087322
Cog6	ENSMUSG00000027742
Gyltl1b	ENSMUSG00000040434
Gm6155	ENSMUSG00000068629
Ighv6-3	ENSMUSG00000076677
Cd59b	ENSMUSG00000068686
Cyp2c65	ENSMUSG00000067231
2300003K06Rik	ENSMUSG00000078257
Edf1	ENSMUSG00000015092
Otud7b	ENSMUSG00000038495
Snhg11	ENSMUSG00000044349
Olfr291	ENSMUSG00000070460
Gm42425	ENSMUSG00000105759
Grip1os1	ENSMUSG00000085418
Pqlc3	ENSMUSG00000045679
Nsmf	ENSMUSG00000006476
Gucy2e	ENSMUSG00000020890
Cyb561	ENSMUSG00000019590
Gm16321	ENSMUSG00000085592
Rpl13	ENSMUSG00000000740
Grip1os3	ENSMUSG00000085454
Gm26960	ENSMUSG00000098118
Ighv6-4	ENSMUSG00000094174
Tbl1xr1	ENSMUSG00000027630
Gm12337	ENSMUSG00000084224
Grip1os2	ENSMUSG00000084764
Olfr1313	ENSMUSG00000074946
Gm11556	ENSMUSG00000082531
Gm18429	ENSMUSG00000106510
Gm8167	ENSMUSG00000097984
Thnsl1	ENSMUSG00000048550
Gm43001	ENSMUSG00000104681
Col10a1	ENSMUSG00000039462
Lrp3	ENSMUSG00000001802
Krt35	ENSMUSG00000048013
Foxr2	ENSMUSG00000071665
Gm14586	ENSMUSG00000083621
Rreb1	ENSMUSG00000039087
Nt5dc1	ENSMUSG00000039480
Mrpl54	ENSMUSG00000034932
Ccsap	ENSMUSG00000031971
Skor1	ENSMUSG00000022245
Grip1	ENSMUSG00000034813
Gm28155	ENSMUSG00000099428
Sult5a1	ENSMUSG00000000739
Gm15186	ENSMUSG00000083906
Alpk2	ENSMUSG00000032845
A830080D01Rik	ENSMUSG00000044150
Sept1	ENSMUSG00000000486
Gm14773	ENSMUSG00000059972
Rxfp3	ENSMUSG00000060735
Rtcb	ENSMUSG00000001783
Gm7893	ENSMUSG00000099796
Gm29128	ENSMUSG00000100910
Tnk2os	ENSMUSG00000075265
Gm26957	ENSMUSG00000098114
Gm10087	ENSMUSG00000060777
Lgsn	ENSMUSG00000050217
Gm37555	ENSMUSG00000103091
Vnn3	ENSMUSG00000020010
A930009A15Rik	ENSMUSG00000092210
Vamp4	ENSMUSG00000026696
Gm28820	ENSMUSG00000101879
Tnk2	ENSMUSG00000022791
Gm9910	ENSMUSG00000103469
Sbf2	ENSMUSG00000038371
Slfn10-ps	ENSMUSG00000072621
Car1	ENSMUSG00000027556
Lgr5	ENSMUSG00000020140
4931428L18Rik	ENSMUSG00000086727
Gm20681	ENSMUSG00000093682
Gm14786	ENSMUSG00000082832
Ighv1-20	ENSMUSG00000095761
Eef1g	ENSMUSG00000071644
Gm15684	ENSMUSG00000089776
Ascl4	ENSMUSG00000085111
Dbndd1	ENSMUSG00000031970
Kdm5c	ENSMUSG00000025332
Olfr1314	ENSMUSG00000074945
Crebbp	ENSMUSG00000022521
Ighv1-21-1	ENSMUSG00000102678
Tph1	ENSMUSG00000040046
Gm9727	ENSMUSG00000089628
Btbd8	ENSMUSG00000070632
Gm16399	ENSMUSG00000097790
Gm43219	ENSMUSG00000105996
Tspan33	ENSMUSG00000001763
Gm15190	ENSMUSG00000082693
Rpl15-ps4	ENSMUSG00000082508
Foxl1	ENSMUSG00000097084
1700047G03Rik	ENSMUSG00000099349
Pi16	ENSMUSG00000024011
Ttc39b	ENSMUSG00000038172
Gm8018	ENSMUSG00000092425
Tspyl4	ENSMUSG00000039485
Nr6a1	ENSMUSG00000063972
Gm13171	ENSMUSG00000082429
Gm43669	ENSMUSG00000105829
Psg20	ENSMUSG00000063305
Gm28731	ENSMUSG00000101555
Fyttd1	ENSMUSG00000022800
Rap1gds1	ENSMUSG00000028149
Bnip2	ENSMUSG00000011958
Olfr290	ENSMUSG00000070459
Gnb1	ENSMUSG00000029064
Timeless	ENSMUSG00000039994
Lcmt1	ENSMUSG00000030763
Gm18560	ENSMUSG00000092214
Setd8	ENSMUSG00000049327
Hint1	ENSMUSG00000020267
C030027H14Rik	ENSMUSG00000100143
Asic3	ENSMUSG00000038276
A230103J11Rik	ENSMUSG00000087026
Srgap1	ENSMUSG00000020121
Gm13441	ENSMUSG00000086356
Zfp553	ENSMUSG00000045598
Rbm3os	ENSMUSG00000055188
Gm18981	ENSMUSG00000100867
Lamc3	ENSMUSG00000026840
Dcp1b	ENSMUSG00000041477
Fbxw9	ENSMUSG00000008167
Nqo1	ENSMUSG00000003849
Man1b1	ENSMUSG00000036646
Gm37141	ENSMUSG00000104142
Zcchc5	ENSMUSG00000047686
Gm38279	ENSMUSG00000104080
Ighv6-5	ENSMUSG00000096407
Arhgap17	ENSMUSG00000030766
Gm27216	ENSMUSG00000098747
Rragb	ENSMUSG00000041658
Gm28223	ENSMUSG00000099412
Krtap4-16	ENSMUSG00000046474
Gm29412	ENSMUSG00000101831
Gm18492	ENSMUSG00000106268
Rbm17	ENSMUSG00000037197
Gm7925	ENSMUSG00000092055
Gm42978	ENSMUSG00000104873
Nr6a1os	ENSMUSG00000085201
Gm2832	ENSMUSG00000091110
Gm9671	ENSMUSG00000091808
Gm29413	ENSMUSG00000100428
Ankrd24	ENSMUSG00000054708
Gm21848	ENSMUSG00000099487
Sbsn	ENSMUSG00000046056
Trpv5	ENSMUSG00000036899
Lpar4	ENSMUSG00000049929
Ighv6-6	ENSMUSG00000076680
Gm13378	ENSMUSG00000084071
Gm11568	ENSMUSG00000069717
Tnnt1	ENSMUSG00000064179
Gm5798	ENSMUSG00000094925
Efhd2	ENSMUSG00000040659
Cenpo	ENSMUSG00000020652
Gm11340	ENSMUSG00000083409
Gm29671	ENSMUSG00000099601
Gm2855	ENSMUSG00000091847
Gm29172	ENSMUSG00000100409
Gm21878	ENSMUSG00000101704
Ighv6-7	ENSMUSG00000087582
Gm7945	ENSMUSG00000091131
Gm13379	ENSMUSG00000080846
Gm14201	ENSMUSG00000083168
Gm15531	ENSMUSG00000083086
Vmn2r42	ENSMUSG00000070844
Gm13327	ENSMUSG00000085680
Gm11559	ENSMUSG00000090225
Gm14202	ENSMUSG00000083715
Atp6v0e2	ENSMUSG00000039347
Gpr158	ENSMUSG00000045967
Krt36	ENSMUSG00000020916
Nrg1	ENSMUSG00000062991
Ighv8-2	ENSMUSG00000102301
Stxbp3	ENSMUSG00000027882
Gm42797	ENSMUSG00000105664
Gm42892	ENSMUSG00000106073
Tmem147os	ENSMUSG00000097320
4930455H04Rik	ENSMUSG00000080907
Gm3489	ENSMUSG00000100434
Mitf	ENSMUSG00000035158
Gm8908	ENSMUSG00000080765
Gm19480	ENSMUSG00000100013
Palmd	ENSMUSG00000033377
Gm14788	ENSMUSG00000081235
Rubcn	ENSMUSG00000035629
1700024P16Rik	ENSMUSG00000078612
Gapdhs	ENSMUSG00000061099
7420461P10Rik	ENSMUSG00000091060
Ighv1-21	ENSMUSG00000102654
Vnn1	ENSMUSG00000037440
Meox2	ENSMUSG00000036144
4930534D22Rik	ENSMUSG00000097761
Olfr1317	ENSMUSG00000050776
Cyp2u1	ENSMUSG00000027983
Cacna1c	ENSMUSG00000051331
Gm6139	ENSMUSG00000057244
Acer2	ENSMUSG00000038007
Vmn2r96	ENSMUSG00000091679
Myoc	ENSMUSG00000026697
Rora	ENSMUSG00000032238
Gm26935	ENSMUSG00000098146
Mageb2	ENSMUSG00000073069
Ddx47	ENSMUSG00000030204
1700125G22Rik	ENSMUSG00000097584
Setd3	ENSMUSG00000056770
Gm14783	ENSMUSG00000083926
Gm9064	ENSMUSG00000091117
Gm12721	ENSMUSG00000083791
Gm17219	ENSMUSG00000090855
Gm3496	ENSMUSG00000101251
Gm11341	ENSMUSG00000081909
Gm28162	ENSMUSG00000101349
Naa35	ENSMUSG00000021555
Taar2	ENSMUSG00000059763
Vmn2r-ps115	ENSMUSG00000093582
Gm6482	ENSMUSG00000092142
Rgs17	ENSMUSG00000019775
Gm5072	ENSMUSG00000094861
Gm37186	ENSMUSG00000103937
Scgb1a1	ENSMUSG00000024653
2410004P03Rik	ENSMUSG00000071398
l7Rn6	ENSMUSG00000062797
Kazn	ENSMUSG00000040606
Gm5842	ENSMUSG00000103293
Igsf9b	ENSMUSG00000034275
Taar3	ENSMUSG00000069708
Gm8398	ENSMUSG00000091496
Vmn1r-ps135	ENSMUSG00000084096
Wnt11	ENSMUSG00000015957
Gm8914	ENSMUSG00000096072
Gm13296	ENSMUSG00000082314
Taar4	ENSMUSG00000069707
Aldh3b3	ENSMUSG00000037263
Lin9	ENSMUSG00000058729
Gm14787	ENSMUSG00000080863
Gm5268	ENSMUSG00000101937
Taar5	ENSMUSG00000069706
Psg22	ENSMUSG00000044903
Gm20417	ENSMUSG00000092267
Gm8916	ENSMUSG00000084057
Cflar	ENSMUSG00000026031
Malat1	ENSMUSG00000092341
Mucl1	ENSMUSG00000060311
Taar6	ENSMUSG00000045111
Map2k3	ENSMUSG00000018932
Nob1	ENSMUSG00000003848
Ralgapb	ENSMUSG00000027652
Taar7a	ENSMUSG00000095647
Gm15511	ENSMUSG00000086648
Gm37376	ENSMUSG00000102349
Stx5a	ENSMUSG00000010110
Gm11342	ENSMUSG00000084788
Etv3	ENSMUSG00000003382
S1pr1	ENSMUSG00000045092
Mucl2	ENSMUSG00000036925
Gm11344	ENSMUSG00000083165
Gm11345	ENSMUSG00000086344
Aldh3b2	ENSMUSG00000075296
Gm14785	ENSMUSG00000083955
Zscan5b	ENSMUSG00000058028
Cmah	ENSMUSG00000016756
Taar7b	ENSMUSG00000095171
Vmn2r65	ENSMUSG00000066372
Krtap9-1	ENSMUSG00000070335
Taar7c-ps	ENSMUSG00000084182
Pantr1	ENSMUSG00000060424
1700084M14Rik	ENSMUSG00000057805
Gm29367	ENSMUSG00000100396
Pex16	ENSMUSG00000027222
Gm15136	ENSMUSG00000082437
Gm9889	ENSMUSG00000052769
Gm7851	ENSMUSG00000081843
Ighv1-2	ENSMUSG00000102524
Taar7d	ENSMUSG00000095569
Serpinf2	ENSMUSG00000038224
Gm11567	ENSMUSG00000059845
Vmn2r66	ENSMUSG00000094950
Mageb17-ps	ENSMUSG00000081960
Pdxk-ps	ENSMUSG00000002791
Rufy2	ENSMUSG00000020070
1700034O15Rik	ENSMUSG00000029867
4930557F10Rik	ENSMUSG00000085488
Gm26943	ENSMUSG00000098067
Taar7e	ENSMUSG00000100689
Gm11333	ENSMUSG00000080698
Ighv10-1	ENSMUSG00000095981
Gm17705	ENSMUSG00000090936
4933404K08Rik	ENSMUSG00000085122
4933428G20Rik	ENSMUSG00000047988
Kcnf1	ENSMUSG00000051726
1700042O10Rik	ENSMUSG00000086391
Gm16312	ENSMUSG00000086107
Arhgap23	ENSMUSG00000049807
1700016K19Rik	ENSMUSG00000053783
Nudt8	ENSMUSG00000024869
Ddc	ENSMUSG00000020182
4930420N18Rik	ENSMUSG00000104199
Gm43116	ENSMUSG00000104754
Vmn2r-ps64	ENSMUSG00000092530
Sgms2	ENSMUSG00000050931
Rarres2	ENSMUSG00000009281
Ccdc160	ENSMUSG00000073207
Cdc20b	ENSMUSG00000078926
Gm43162	ENSMUSG00000104724
Gm14151	ENSMUSG00000079006
Gm12455	ENSMUSG00000083803
Slfn2	ENSMUSG00000072620
Gm13062	ENSMUSG00000087525
Doc2g	ENSMUSG00000024871
Gm14147	ENSMUSG00000079005
Zfp11	ENSMUSG00000051034
R3hcc1	ENSMUSG00000034194
Spdl1	ENSMUSG00000069910
Gm37371	ENSMUSG00000102500
Gm14145	ENSMUSG00000085805
Kat6b	ENSMUSG00000021767
Gm4845	ENSMUSG00000095238
Spag5	ENSMUSG00000002055
Olfr1318	ENSMUSG00000049758
Fhad1os1	ENSMUSG00000085424
Gm14149	ENSMUSG00000067352
Dtx1	ENSMUSG00000029603
Ighv1-22	ENSMUSG00000094561
Dtwd2	ENSMUSG00000024505
Rpl10	ENSMUSG00000008682
Gm37599	ENSMUSG00000102740
Fhad1	ENSMUSG00000051435
Gm12347	ENSMUSG00000086702
Gm37142	ENSMUSG00000104147
Gm37527	ENSMUSG00000103788
Malsu1	ENSMUSG00000029815
Gm14144	ENSMUSG00000087337
Kel	ENSMUSG00000029866
Gm14607	ENSMUSG00000082887
Ighv1-23	ENSMUSG00000103290
Gm6539	ENSMUSG00000083683
Muc1	ENSMUSG00000042784
Rps2-ps13	ENSMUSG00000081684
Gm37604	ENSMUSG00000103858
Gm14200	ENSMUSG00000081800
Lrrc61	ENSMUSG00000073096
Gm18183	ENSMUSG00000099671
8430429K09Rik	ENSMUSG00000034587
Igf2bp3	ENSMUSG00000029814
Krt13	ENSMUSG00000044041
Gm16283	ENSMUSG00000087020
Gdpd2	ENSMUSG00000019359
Adig	ENSMUSG00000044405
Gm28724	ENSMUSG00000103890
Gm28724	ENSMUSG00000101909
Gm9104	ENSMUSG00000061242
Cd59a	ENSMUSG00000032679
1700095J07Rik	ENSMUSG00000084861
4930442J19Rik	ENSMUSG00000087609
Gm11945	ENSMUSG00000081059
Tbc1d9	ENSMUSG00000031709
Vmn2r-ps65	ENSMUSG00000092422
Axl	ENSMUSG00000002602
Arhgap40	ENSMUSG00000074625
1700028K03Rik	ENSMUSG00000089798
9930021J03Rik	ENSMUSG00000046138
Mixl1	ENSMUSG00000026497
Ugt3a1	ENSMUSG00000072664
Malt1	ENSMUSG00000032688
Slfn1	ENSMUSG00000078763
Slc48a1	ENSMUSG00000081534
1700065O20Rik	ENSMUSG00000100134
Abcc3	ENSMUSG00000020865
Gm8101	ENSMUSG00000104202
Gm14204	ENSMUSG00000086496
Gm16291	ENSMUSG00000087695
Gpx3	ENSMUSG00000018339
Slfn4	ENSMUSG00000000204
Ssh1	ENSMUSG00000042121
Tie1	ENSMUSG00000033191
Gm9750	ENSMUSG00000024658
Dpys	ENSMUSG00000022304
Brk1	ENSMUSG00000033940
Acbd3	ENSMUSG00000026499
Dcxr	ENSMUSG00000039450
Slc32a1	ENSMUSG00000037771
Asrgl1	ENSMUSG00000024654
Fhad1os2	ENSMUSG00000085922
Lsm5	ENSMUSG00000091625
Gm13059	ENSMUSG00000081079
Olfr1296-ps1	ENSMUSG00000096690
Gm14205	ENSMUSG00000087563
Ube2e3	ENSMUSG00000027011
Gm42669	ENSMUSG00000106631
Gm14866	ENSMUSG00000085314
Gm11566	ENSMUSG00000082993
Fcer2a	ENSMUSG00000005540
Zdhhc9	ENSMUSG00000036985
Gm15518	ENSMUSG00000087066
Gm6884	ENSMUSG00000082960
Ighv1-3	ENSMUSG00000102641
Gm43107	ENSMUSG00000105017
Ift57	ENSMUSG00000032965
A830010M20Rik	ENSMUSG00000044060
Gm14781	ENSMUSG00000064129
Gm42687	ENSMUSG00000105108
Ighv1-24	ENSMUSG00000094241
Krtap31-1	ENSMUSG00000070334
Gm37768	ENSMUSG00000103649
A930005H10Rik	ENSMUSG00000054426
Gm38293	ENSMUSG00000103156
Taar7f	ENSMUSG00000100950
Ubqln3	ENSMUSG00000051618
Ighv1-4	ENSMUSG00000095442
Sept14	ENSMUSG00000034219
Taar8a	ENSMUSG00000096442
Gm43108	ENSMUSG00000104803
B230307C23Rik	ENSMUSG00000080717
Xndc1	ENSMUSG00000099481
Ubqlnl	ENSMUSG00000051437
Mageb5	ENSMUSG00000061392
Olfr1297	ENSMUSG00000094858
C030010L15Rik	ENSMUSG00000097874
Dph5	ENSMUSG00000033554
Ighv1-25	ENSMUSG00000102952
Gm16135	ENSMUSG00000084985
Prkch	ENSMUSG00000021108
Hnrnph3	ENSMUSG00000020069
Taar8b	ENSMUSG00000100186
Ighv10-2	ENSMUSG00000103875
Gm12943	ENSMUSG00000082220
Gm14021	ENSMUSG00000081264
Gm10538	ENSMUSG00000101126
Gm11565	ENSMUSG00000078256
Ctu1	ENSMUSG00000038888
Gm14020	ENSMUSG00000084244
Bnc1	ENSMUSG00000025105
Gm9017	ENSMUSG00000089685
Rab19	ENSMUSG00000029923
Gm6257	ENSMUSG00000091866
Gm16759	ENSMUSG00000086539
Gm4660	ENSMUSG00000087636
Ighv1-5	ENSMUSG00000096499
Gm26692	ENSMUSG00000097035
Mog	ENSMUSG00000076439
H3f3aos	ENSMUSG00000073485
Gm28777	ENSMUSG00000100763
A930041C12Rik	ENSMUSG00000085900
Gm15153	ENSMUSG00000082733
Srpx2	ENSMUSG00000031253
Frmd5	ENSMUSG00000027238
Epha6	ENSMUSG00000055540
Notch3	ENSMUSG00000038146
2300009A05Rik	ENSMUSG00000032403
Pms1	ENSMUSG00000026098
Vmn2r-ps116	ENSMUSG00000093602
H3f3a	ENSMUSG00000060743
Gm11560	ENSMUSG00000086688
Rpap2	ENSMUSG00000033773
Vmn2r-ps117	ENSMUSG00000093531
Pih1d3	ENSMUSG00000026063
Cyp2b9	ENSMUSG00000040660
Xntrpc	ENSMUSG00000070425
Stk11ip	ENSMUSG00000026213
Prrc2c	ENSMUSG00000040225
Gm29135	ENSMUSG00000099437
Iqch	ENSMUSG00000037801
Gm42692	ENSMUSG00000104901
Ighv10-3	ENSMUSG00000095700
Taar8c	ENSMUSG00000100004
Sox2ot	ENSMUSG00000105265
Gm38096	ENSMUSG00000103459
Gm14782	ENSMUSG00000082807
Gm43031	ENSMUSG00000106535
Snx15	ENSMUSG00000024787
Wdr46-ps	ENSMUSG00000105893
1700028M03Rik	ENSMUSG00000101334
4921504E06Rik	ENSMUSG00000026734
Taar9	ENSMUSG00000037424
Krtap31-2	ENSMUSG00000051481
Gm7113	ENSMUSG00000084155
Rpl28-ps2	ENSMUSG00000102137
Akap9	ENSMUSG00000040407
Gm11413	ENSMUSG00000086321
Gm12711	ENSMUSG00000085090
Gm11184	ENSMUSG00000087592
Irx2	ENSMUSG00000001504
Gm15137	ENSMUSG00000085451
Sfrp2	ENSMUSG00000027996
Srrd	ENSMUSG00000029346
Prss51	ENSMUSG00000052099
Gm16465	ENSMUSG00000083994
Spi1	ENSMUSG00000002111
Gm20922	ENSMUSG00000101710
Myo3b	ENSMUSG00000042064
Gm7953	ENSMUSG00000091486
Vmn2r-ps66	ENSMUSG00000092621
Scgb2b32-ps	ENSMUSG00000101296
Gm26771	ENSMUSG00000097250
Gm5865	ENSMUSG00000104923
Gm13345	ENSMUSG00000084160
Evc2	ENSMUSG00000050248
Gm42985	ENSMUSG00000104800
P2ry10	ENSMUSG00000050921
Opa1	ENSMUSG00000038084
Gm42693	ENSMUSG00000105284
Prss55	ENSMUSG00000034623
Myo16	ENSMUSG00000039057
Gm43207	ENSMUSG00000105222
Phf6	ENSMUSG00000025626
Gm43208	ENSMUSG00000105577
Sox2	ENSMUSG00000074637
Gm20515	ENSMUSG00000092242
Gm5708	ENSMUSG00000105739
Gm7954	ENSMUSG00000093863
Gm42695	ENSMUSG00000106525
Lrrc48	ENSMUSG00000056598
Gm7097	ENSMUSG00000089835
Gm38505	ENSMUSG00000092196
Slc16a9	ENSMUSG00000037762
Gm3841	ENSMUSG00000100236
Gm15650	ENSMUSG00000087703
Rars2	ENSMUSG00000028292
Hivep3	ENSMUSG00000028634
Sh3tc1	ENSMUSG00000036553
Tfip11	ENSMUSG00000029345
Eva1c	ENSMUSG00000039903
Zcchc7	ENSMUSG00000035649
Gm20305	ENSMUSG00000103979
Sde2	ENSMUSG00000038806
Gm29457	ENSMUSG00000101507
Oas2	ENSMUSG00000032690
Anxa4	ENSMUSG00000029994
Cdk5	ENSMUSG00000028969
Gm13631	ENSMUSG00000086132
Gm15732	ENSMUSG00000057290
4930458D05Rik	ENSMUSG00000087611
Etv3l	ENSMUSG00000104058
Gpcpd1	ENSMUSG00000027346
Zfp691	ENSMUSG00000045268
Agpat9	ENSMUSG00000029314
Gm9848	ENSMUSG00000051002
Gsn	ENSMUSG00000026879
Pdia6	ENSMUSG00000020571
Slc43a1	ENSMUSG00000027075
Gm42444	ENSMUSG00000106048
Gm42447	ENSMUSG00000105485
Esm1	ENSMUSG00000042379
Gm42445	ENSMUSG00000106411
Gzmk	ENSMUSG00000042385
Trpc2	ENSMUSG00000100254
Ighv1-26	ENSMUSG00000094546
Klf8	ENSMUSG00000041649
Gm26954	ENSMUSG00000098233
Gm2617	ENSMUSG00000101398
Nagk	ENSMUSG00000034744
Ppat	ENSMUSG00000029246
Stxbp3-ps	ENSMUSG00000071640
Cyp2c66	ENSMUSG00000067229
Pclo	ENSMUSG00000061601
Lpcat4	ENSMUSG00000027134
Psg19	ENSMUSG00000004542
Col20a1	ENSMUSG00000016356
Avl9	ENSMUSG00000029787
Gm14584	ENSMUSG00000083798
Atp6v1c2	ENSMUSG00000020566
Gm8902	ENSMUSG00000092464
Chrna2	ENSMUSG00000022041
Aif1	ENSMUSG00000024397
Vmn2r-ps67	ENSMUSG00000092211
Mamdc4	ENSMUSG00000026941
2310040G07Rik	ENSMUSG00000072852
Gm5071	ENSMUSG00000078123
Gm29231	ENSMUSG00000096818
Gm6445	ENSMUSG00000100141
Paics	ENSMUSG00000029247
Tmem123	ENSMUSG00000050912
Fam101b	ENSMUSG00000020846
Scgb2a2	ENSMUSG00000096872
Cyp51	ENSMUSG00000001467
Gm4850	ENSMUSG00000100205
Gm28645	ENSMUSG00000100592
Moxd1	ENSMUSG00000020000
Nr2e1	ENSMUSG00000019803
Gm18358	ENSMUSG00000092199
Krt15	ENSMUSG00000054146
Gm42987	ENSMUSG00000106178
Dapp1	ENSMUSG00000028159
Vmn2r67	ENSMUSG00000095664
Nkx6-2	ENSMUSG00000041309
Slc24a2	ENSMUSG00000037996
E130308A19Rik	ENSMUSG00000045071
